Sample File,C:\Documents and Settings\Administrator\Desktop\Pier2009\SMPS\SMPS_080809_w_drier.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Gas Viscosity (kg/(m*s)),1.8203e-005
Mean Free Path (m),6.65e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Date,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09
Start Time,15:51:39,15:56:39,16:01:39,16:06:39,16:11:39,16:16:39,16:21:39,16:26:39,16:31:39,16:36:39,16:41:39,16:46:39,16:51:39,16:56:39,17:01:39
Diameter Midpoint
 12.6,425.927,43.9311,114.919,2509.05,0,850.152,496.915,0,43.9311,0,0,141.976,0,0,70.9878
 13.1,548.581,0,65.6945,1631.32,65.6945,542.749,0,0,0,65.6945,0,131.389,23.024,197.084,65.6945
 13.6,222.84,0,122.12,2011.86,0,772.391,183.18,0,0,0,0,61.06,39.6602,0,61.06
 14.1,57.0364,0,57.0364,1626.58,0,435.889,187.762,114.073,57.0364,57.0364,0,57.0364,57.0364,0,0
 14.6,213.748,0,0,1407.28,53.4371,452.056,198.147,53.4371,0,0,0,0,0,0,0
 15.1,151.027,50.3423,0,1344.98,0,435.715,0,0,0,0,0,100.685,0,0,0
 15.7,47.5473,0,0,1457.87,0,218.405,0,0,47.5473,0,47.5473,95.0947,0,47.5473,0
 16.3,90.0357,0,90.0357,1048.14,0,315.125,135.054,0,0,45.0178,0,45.0178,0,0,0
 16.8,85.4494,0,0,890.224,42.7247,170.899,85.4494,0,0,0,42.7247,85.4494,0,0,0
 17.5,0,40.698,40.698,688.816,0,241.136,40.698,0,0,40.698,0,0,37.646,0,40.698
 18.1,116.436,38.8119,38.8119,248.68,51.7099,158.158,38.8119,38.8119,38.8119,38.8119,38.8119,0,2.91058,0,0
